직업군,공격대원 효과 ( B / A / S / SS / SSS 등급 )
히어로,STR 증가 ( 10 / 20 / 40 / 80 / 100)
팔라딘,STR 증가 ( 10 / 20 / 40 / 80 / 100)
다크나이트,최대 HP 2 ~ 6 % 증가
"아크메이지(불, 독)",최대 MP 2 ~ 6 % 증가
"아크메이지(썬, 콜)",INT 증가 ( 10 / 20 / 40 / 80 / 100)
비숍,INT 증가 ( 10 / 20 / 40 / 80 / 100)
보우마스터,DEX 증가 ( 10 / 20 / 40 / 80 / 100)
신궁,크리티컬 확률 1 ~ 5 % 증가
나이트로드,크리티컬 확률 1 ~ 5 % 증가
섀도어,LUK 증가 ( 10 / 20 / 40 / 80 / 100)
듀얼블레이드,LUK 증가 ( 10 / 20 / 40 / 80 / 100)
바이퍼,STR 증가 ( 10 / 20 / 40 / 80 / 100)
캡틴,소환수 지속 시간 4 / 6 / 8 / 10 / 12 % 증가
캐논슈터,STR 증가 ( 10 / 20 / 40 / 80 / 100)
데몬슬레이어,상태이상 저항 1 ~ 5
데몬어벤져,보스 공격력 1 / 2 / 3 / 5 / 6 % 증가
블래스터,방어율 무시 1 / 2 / 3 / 5 / 6 % 증가
배틀메이지,INT 증가 ( 10 / 20 / 40 / 80 / 100)
와일드헌터,공격시 20 % 확률로 4 / 8 / 12 / 16 / 20 % 데미지 증가
메카닉,버프 지속 시간 5 / 10 / 15 / 20 / 25 % 증가
제논,"STR, DEX, LUK 5 / 10 / 20 / 40 / 50 증가"
아란,타격 성공 시 70 % 확률로 최대 HP의 2 / 4 / 6 / 8 / 10 % 회복
에반,타격 성공 시 70 % 확률로 최대 MP의 2 / 4 / 6 / 8 / 10 % 회복
루미너스,INT 증가 ( 10 / 20 / 40 / 80 / 100)
메르세데스,스킬 재사용 대기시간 감소 2 ~ 6 %
팬텀,메소 획득량 1 ~ 5 % 증가
은월,크리티컬 데미지 1 / 2 / 3 / 5 / 6 % 증가
소울마스터,최대 HP 증가 250 / 500 / 1000 / 2000 / 2500
미하일,최대 HP 증가 250 / 500 / 1000 / 2000 / 2500
플레임위자드,INT 증가 ( 10 / 20 / 40 / 80 / 100)
윈드브레이커,DEX 증가 ( 10 / 20 / 40 / 80 / 100)
나이트워커,LUK 증가 ( 10 / 20 / 40 / 80 / 100)
스트라이커,STR 증가 ( 10 / 20 / 40 / 80 / 100)
카이저,STR 증가 ( 10 / 20 / 40 / 80 / 100)
엔젤릭버스터,DEX 증가 ( 10 / 20 / 40 / 80 / 100)
카데나,LUK 증가 ( 10 / 20 / 40 / 80 / 100)
제로,경험치 획득량 4 / 6 / 8 / 10 / 12 % 증가
키네시스,INT 증가 ( 10 / 20 / 40 / 80 / 100)
일리움,INT 증가 ( 10 / 20 / 40 / 80 / 100)
아크,STR 증가 ( 10 / 20 / 40 / 80 / 100)
패스파인더,DEX 증가 ( 10 / 20 / 40 / 80 / 100)
호영,LUK 증가 ( 10 / 20 / 40 / 80 / 100)
아델,STR 증가 ( 10 / 20 / 40 / 80 / 100)
